instrument_id,exchange,segment,security_type,angel_token,angel_symbol,base_symbol,yahoo_symbol,validation_status,last_validated,is_active,data_source,remarks
EQ_NSE_IRFC,NSE,CASH,EQUITY,2029,IRFC-EQ,IRFC,IRFC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NATIONALUM,NSE,CASH,EQUITY,6364,NATIONALUM-EQ,NATIONALUM,NATIONALUM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CHOLAFIN-D1,NSE,CASH,EQUITY,19257,CHOLAFIN-D1,CHOLAFIN-D1,CHOLAFIN-D1.NS,INVALID,2026-05-16,True,YAHOO,
EQ_NSE_KEI,NSE,CASH,EQUITY,13310,KEI-EQ,KEI,KEI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PIIND,NSE,CASH,EQUITY,24184,PIIND-EQ,PIIND,PIIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INDUSINDBK,NSE,CASH,EQUITY,5258,INDUSINDBK-EQ,INDUSINDBK,INDUSINDBK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SIEMENS,NSE,CASH,EQUITY,3150,SIEMENS-EQ,SIEMENS,SIEMENS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_OBEROIRLTY,NSE,CASH,EQUITY,20242,OBEROIRLTY-EQ,OBEROIRLTY,OBEROIRLTY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HAVELLS,NSE,CASH,EQUITY,9819,HAVELLS-EQ,HAVELLS,HAVELLS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_KOTAKBANK,NSE,CASH,EQUITY,1922,KOTAKBANK-EQ,KOTAKBANK,KOTAKBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ADANIENT,NSE,CASH,EQUITY,25,ADANIENT-EQ,ADANIENT,ADANIENT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HDFCLIFE,NSE,CASH,EQUITY,467,HDFCLIFE-EQ,HDFCLIFE,HDFCLIFE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_M&M,NSE,CASH,EQUITY,2031,M&M-EQ,M&M,M&M.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_RECLTD,NSE,CASH,EQUITY,15355,RECLTD-EQ,RECLTD,RECLTD.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LODHA,NSE,CASH,EQUITY,3220,LODHA-EQ,LODHA,LODHA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PAYTM,NSE,CASH,EQUITY,6705,PAYTM-EQ,PAYTM,PAYTM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_VEDL,NSE,CASH,EQUITY,3063,VEDL-EQ,VEDL,VEDL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INDIGO,NSE,CASH,EQUITY,11195,INDIGO-EQ,INDIGO,INDIGO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CUMMINSIND,NSE,CASH,EQUITY,1901,CUMMINSIND-EQ,CUMMINSIND,CUMMINSIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ABB,NSE,CASH,EQUITY,13,ABB-EQ,ABB,ABB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PIDILITIND,NSE,CASH,EQUITY,2664,PIDILITIND-EQ,PIDILITIND,PIDILITIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BAJAJFINSV,NSE,CASH,EQUITY,16675,BAJAJFINSV-EQ,BAJAJFINSV,BAJAJFINSV.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_GODREJPROP,NSE,CASH,EQUITY,17875,GODREJPROP-EQ,GODREJPROP,GODREJPROP.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HINDALCO,NSE,CASH,EQUITY,1363,HINDALCO-EQ,HINDALCO,HINDALCO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_JUBLFOOD,NSE,CASH,EQUITY,18096,JUBLFOOD-EQ,JUBLFOOD,JUBLFOOD.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_GMRAIRPORT,NSE,CASH,EQUITY,13528,GMRAIRPORT-EQ,GMRAIRPORT,GMRAIRPORT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INDHOTEL,NSE,CASH,EQUITY,1512,INDHOTEL-EQ,INDHOTEL,INDHOTEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_JSWSTEEL,NSE,CASH,EQUITY,11723,JSWSTEEL-EQ,JSWSTEEL,JSWSTEEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_UPL,NSE,CASH,EQUITY,11287,UPL-EQ,UPL,UPL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_EICHERMOT,NSE,CASH,EQUITY,910,EICHERMOT-EQ,EICHERMOT,EICHERMOT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CDSL,NSE,CASH,EQUITY,21174,CDSL-EQ,CDSL,CDSL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HINDPETRO,NSE,CASH,EQUITY,1406,HINDPETRO-EQ,HINDPETRO,HINDPETRO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INDUSTOWER,NSE,CASH,EQUITY,29135,INDUSTOWER-EQ,INDUSTOWER,INDUSTOWER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ADANIPORTS,NSE,CASH,EQUITY,15083,ADANIPORTS-EQ,ADANIPORTS,ADANIPORTS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MANKIND,NSE,CASH,EQUITY,15380,MANKIND-EQ,MANKIND,MANKIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MAZDOCK,NSE,CASH,EQUITY,509,MAZDOCK-EQ,MAZDOCK,MAZDOCK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NAUKRI,NSE,CASH,EQUITY,13751,NAUKRI-EQ,NAUKRI,NAUKRI.NS,VALID,2026-05-16,True,YAHOO,
